"Subject: KHI CAT 2 meal service suggestion and feedback  Flight EK608/ 609 to Karachi and Dubai on 10th January, with flight time one hour and thirty five minutes  And due to short taxing time, crew were unable to finish all toys on gound and required to continue after take off  All meals included 47 special meals to Karachi, and 63 to Dubai were fully heated on ground with full load on board  Customers demanded different drinks and some of the customers unable to enjoy the meal as crew required to conducting clearance for landing  When crew members conduct the coffee and tea service, some customers stated they would prefer to have their meal first follow the coffee or tea; however, crew need to informed customers that due to time limited, they won't be able to return for another round of coffee and tea  Does not look professional as crew members are running in the cabin to completed the service and secured the cabin for landing for such short period",KIS Application
"Unhappy customer  Mr. Fitzgerald was travelling together with his wife Ms. Gita Menon, 9E  During boarding the customer inquired why the flight was delayed and stated: ""Am I going to make it for my next flight. On way from London to here took us 19 hrs., and I am not happy about it.""  During the flight the flight the customer expressed his disappointment with the ""old"" aircraft and the ""old"" IFE system, when welcomed by CSV Svetlana Dalmeida.  Mrs. Menon claimed that the IFE on her previous flight was inoperative.  Mrs. Menon claimed that it was their first time flying with Emirates and she was very disappointed, even though both customers were Blue Skywards Members.  When talking to her, Mr. Fitzgerald claimed that he will be writing a complain to Mr. Tim Clark.  Customer information: Mr. John Vincent Fitzerald, 9E; Email: johnvfitzg@msm.com   The customer did not reveal any further details, and would like to be contacted on his email address.",KIS Application
"Upgrade  Customer Mr Bourgeault was giving his feedback and expressed his disappointment during boarding regarding onboard upgrade as he was trying to upgrade his wife to JCL however could not do it before hand.  Customer Mr Bourgeault is travelling with his wife and kids on flight EK 319 from NRT to DXB.  He called reservation, enquiring upgrade for his wife however was informed he will not be able to do it.  He also claimed that he enquire about the upgrade upon check in NRT airport however was disappointed that he was informed that can't do it as well.  He expressed his feedback as observed that there is still available seat in JCL and yet he cannot process with the upgrade before hand even though he is willing to pay.  He also claimed that Emirates usually send out special promo on onboard upgrade message when flight is not full for upgrade however did not get any message this time round.",KIS Application
"UPSET CUSTOMER  Mrs. Awogbade came to me during disembarkation and stated to me, ""I would like to talk to you and make a complaint.""  She claimed that ""It was about 45 minutes for landing and I was woken up very abruptly by your crew. She tapped me very hard and when I told her why are you waking me up like that, she said with attitude in a loud voice, ""Did I hurt you?"" I showed her the way she woke me up on her hand and she said, ""You're hurting me. Did I hurt you like that?"" When she said that I did not want to escalate it further, I asked her for her name. I was very soft spoken.""  She also stated, ""I am a gold member. I know the rules of when to wake up, but why did she need to talk like that. I am very upset and I would like this to be documented.""  She then disembarked after speaking to me.",KIS Application
"The rest provided for this kind of flights is constantly disturbed. Not only both the legs are night flights when our bodies are so vulnerable, but also the rest is absolutely ineffective. A undisturbed rest for this kind of length of flights is a must. The hardblocked seats are extremely uncomfortable, located right next to 4 lavatories which are constantly used and the noise of the flushing is piercing through even earplugs! Passengers passing keep on pushing the crew resting while passing on the isle, the lights,call bells, calls, etc disturb the so called rest. Some of the crew choose not to have the rest,since it is so ineffective. A change in policy is a must. There is basically no appropriate rest for this flight and this is extremely exhausting which is a safety hazard.",KIS Application
Saed was observed being proactive and having the initiative of organizing galley even before take off. He made sure that both sides of the cabin had at all times the same step of the service and communicated with the back galley all the time. He coordinated the crew while I was in the flight deck (Captain's toilet break) for a bit longer during the service.  He was seen interacting with a lot of customers during non service times and even expressed concern when he saw an elderly lady that came across as sick. He instructed her to use toilet button and showed its location in case she feels sick in toilet.He was also seen giving out at the top of descent fruits to a couple that could not have the meal on board. He is genuinely caring person and it reflects in the flight.,KIS Application
"Unhappy to queue  Mrs Chaston and her husband slept until top of descent Mrs Chaston wanted to use the bathroom however customers were already waiting in a queue.   Mrs Chaston shouted  seriously"", as she was unhappy to queue. Approached Mrs Chaston to see if she was ok. She complained regarding the fact she has to queue to use the bathroom and that her IFE was not working,   Went immediately to check her IFE system and it was fixed soon afterwards.  IFE worked perfectly until the end of their flight and therefore there was no need to log down in the cabin defect log book.   Noticed that Mrs Chaston was talking to herself in loud manner several times throughout the flight.",KIS Application
"SEATING ASSIGNEMENT/PAID SEAT  During boarding in Rio, customer was very hesitating to show her boarding card when requested by crew.  Mrs Rafael boarded the aircraft in Dubai and changed from 19F to 17G. Customer who joined us in Rio found his seat occupied.  When I approached customer and requested for her boarding card she hesitated and afterwards told me her husband had it.  I noticed that 17F was empty and the flight was full.  Mrs Rafael's husband showed up with his son and started to complain they paid for three seats together 24ABC, however, there was a passenger at 24A. Therefore, Mrs Rafael decided to move from 19F to 17G.",KIS Application
USE OF JETKIDS BOX A purser note had been received from previous sector that the parents were using the jetkids box for their toddler which has not been approved by Emirates  Soon after take off Mr. Cullet opened up the box for his son I informed him that they would not be able to use it as it has not been approved by Emirates Him and his wife were very upset by this as they claimed to have used it on their previous sectors  Mr. Cullet then asked about our safety procedures saying they made no sense He referred to why at a bulkhead seat their baggage had to be stowed during take off and landing but not during turbulence,KIS Application
"Suggestion to increase the number of catered meals on light loads.For 3 customers the catering was:  main course  1 of each choice (3 casseroles);  desserts 1 of each choice;Out of 3 customers, crew had to apologise to 2 customers for not having one of their preferred choice, taking in consideration the 3rd customer did not want to have dessert.One of the customer didn't  really like the way the chicken was cooked, there were no alternatives to offer from the hot meals, as there were no meals left.Please reconsider the catering load as it has negative impact on the Customer's Business Class experience.",KIS Application
